S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,KIREN RIJIJU,Bharatiya Janata Party,196415,9002,205417,51.38
2,NABAM TUKI,Indian National Congress,100100,4579,104679,26.18
3,TECHI RANA,Independent,31106,2208,33314,8.33
4,TOKO SHEETAL,Gana Suraksha Party,27670,2860,30530,7.64
5,BIMPAK SIGA,Independent,10569,949,11518,2.88
6,RUHI TAGUNG,Independent,7559,262,7821,1.96
7,LEKI NORBU,Independent,2139,132,2271,0.57
8,TANIA JUNE,Independent,1920,38,1958,0.49
9,NOTA,None of the Above,2133,163,2296,0.57
1,TAPIR GAO,Bharatiya Janata Party,140715,4866,145581,45.01
2,BOSIRAM SIRAM,Indian National Congress,109433,5727,115160,35.6
3,TAMAT GAMOH,Independent,26691,912,27603,8.53
4,SOTAI KRI,Independent,13227,986,14213,4.39
5,OMAK NITIK,Independent,9074,295,9369,2.9
6,BANDEY MILI,Arunachal Democratic Party,6419,203,6622,2.05
7,NOTA,None of the Above,4654,241,4895,1.51
