S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,JOYANTA BASUMATARY,"United People’s Party, Liberal",484681,4314,488995,39.39
2,KAMPA BORGOYARI,Bodoland Peoples Front,432768,4644,437412,35.23
3,GARJAN MASHAHARY,Indian National Congress,112624,1112,113736,9.16
4,BINITA DEKA,Gana Suraksha Party,93266,923,94189,7.59
5,PRITHVIRAJ NARAYAN DEV MECH,Independent,33636,101,33737,2.72
6,GAURI SANKAR SARANIA,All India Trinamool Congress,23362,157,23519,1.89
7,RANJAY KR BRAHMA,Independent,8782,48,8830,0.71
8,LALIT PEGU,Voters Party International,7891,41,7932,0.64
9,JYOTISH KUMAR DAS,Independent,5944,162,6106,0.49
10,PANKAJ ISLARY,Independent,4473,35,4508,0.36
11,TRIPTINA RABHA,Independent,4425,115,4540,0.37
12,AJOY NARZARY,Independent,4032,48,4080,0.33
13,NOTA,None of the Above,13662,250,13912,1.12
1,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,892766,4277,897043,55.04
2,ROSELINA TIRKEY,Indian National Congress,646123,1973,648096,39.76
3,DILUWARA BEGUM CHOWDHURY,Independent,11719,24,11743,0.72
4,BINOD GOGOI,Independent,10625,54,10679,0.66
5,ANIMA DEKA GUPTA,Voters Party International,8641,32,8673,0.53
6,TRIDIV JYOTI BHUYAN,Independent,8091,37,8128,0.5
7,ABDUL HOQUE,Independent,6395,46,6441,0.4
8,JYOTISKA RANJAN GOSWAMI,Independent,4494,44,4538,0.28
9,SAILEN CH MALAKAR,Bharatiya Gana Parishad,3698,22,3720,0.23
10,SALIM AHMED,Asom Jana Morcha,3243,23,3266,0.2
11,SALEH AHMED MAZUMDAR,Republican Party of India (Athawale),3160,19,3179,0.2
12,NOTA,None of the Above,24212,219,24431,1.5
1,RANJIT DUTTA,Bharatiya Janata Party,771018,4770,775788,60.21
2,PREMLAL GANJU,Indian National Congress,412553,1827,414380,32.16
3,RISHIRAJ KAUNDINYA,Aam Aadmi Party,32771,277,33048,2.56
4,RAJU DEURI,Bodoland Peoples Front,19775,117,19892,1.54
5,PRADIP BHANDARI,Independent,8136,69,8205,0.64
6,KAMESWAR SWARGIARY,Voters Party International,7320,62,7382,0.57
7,RINKU ROY,Gana Suraksha Party,6780,43,6823,0.53
8,ALAM ALI,Bahujan Maha Party,4186,16,4202,0.33
9,NOTA,None of the Above,18535,213,18748,1.46
1,PRADAN BARUAH,Bharatiya Janata Party,659307,3815,663122,54.75
2,UDAY SHANKAR HAZARIKA,Indian National Congress,458720,3145,461865,38.13
3,DHIREN KACHARI,Communist Party of India,19562,69,19631,1.62
4,GHANA KANTA CHUTIA,All India Trinamool Congress,14055,142,14197,1.17
5,BIKRAM RAMCHIARY,Independent,10218,75,10293,0.85
6,GOBIN BISWAKARMA,Independent,7461,65,7526,0.62
7,DEBA NATH PAIT,Independent,6143,20,6163,0.51
8,PALLAB PEGU,Socialist Unity Centre Of India (COMMUNIST),6051,86,6137,0.51
9,BIREN BAILUNG,Voters Party International,5329,30,5359,0.44
10,NOTA,None of the Above,16716,205,16921,1.4
1,SARBANANDA SONOWAL,Bharatiya Janata Party,691153,2609,693762,54.27
2,LURINJYOTI GOGOI,Assam Jatiya Parishad,412793,1648,414441,32.42
3,MANOJ DHANOWAR,Aam Aadmi Party,137618,246,137864,10.78
4,NOTA,None of the Above,32163,92,32255,2.52
1,GAURAV GOGOI,Indian National Congress,743194,8577,751771,54.04
