S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,SUNIL KUMAR,Janata Dal (United),522495,927,523422,47.5
2,DEEPAK YADAV,Rashtriya Janata Dal,422959,1788,424747,38.55
3,PRAVESH KUMAR MISHRA @ ANUP,Independent,23195,30,23225,2.11
4,DINESH AGRAWAL,Independent,19787,23,19810,1.8
5,DURGESH SINGH CHAUHAN,Bahujan Samaj Party,18739,77,18816,1.71
6,CHANDRESHWAR MISHRA,Independent,13590,8,13598,1.23
7,SHAFI MOHAMMAD MIYA,Aazad Samaj Party (Kanshi Ram),13419,13,13432,1.22
8,PARSHURAM SAH,Independent,12142,8,12150,1.1
9,NABA KUMAR SARANIA (HIRA BHAI),Gana Suraksha Party,11420,3,11423,1.04
10,SHAMBHU PRASAD,Independent,10478,20,10498,0.95
11,NOTA,None of the Above,30673,36,30709,2.79
1,MOHAMMAD JAWED,Indian National Congress,402470,380,402850,35.0
2,MUJAHID ALAM,Janata Dal (United),342795,363,343158,29.81
3,AKHTARUL IMAN,All India Majlis-E-Ittehadul Muslimeen,309011,253,309264,26.87
4,BIDESHI RISHIDEV,Independent,11815,3,11818,1.03
5,VISHWANATH TUDU,Independent,11300,2,11302,0.98
6,MD GUFRAN JAMALI,Independent,9992,1,9993,0.87
7,HASIRUL,Independent,9522,2,9524,0.83
8,BABUL ALAM,Bahujan Samaj Party,7575,4,7579,0.66
9,RAVI KUMAR ROY,Independent,7299,3,7302,0.63
10,SHAHABUZZAMA BHARTIYA,Rashtriya Samaj Paksha,6055,0,6055,0.53
11,CHHOTE LAL MAHTO,Independent,3758,5,3763,0.33
12,MOHAMMAD KAUSAR PERWEZ,Independent,3525,0,3525,0.31
13,NOTA,None of the Above,24953,13,24966,2.17
1,TARIQ ANWAR,Indian National Congress,565025,2067,567092,48.41
2,DULAL CHANDRA GOSWAMI,Janata Dal (United),516199,1030,517229,44.15
3,GOPAL KUMAR MAHTO,Bahujan Samaj Party,14452,46,14498,1.24
4,GYANESHWAR SOREN,Independent,12307,10,12317,1.05
5,KHALID MOBARAK,Independent,10828,43,10871,0.93
6,RAJ KUMAR MANDAL,Rashtriya Jansambhavna Party,8473,14,8487,0.72
7,VISHNU SINGH,Bharat Jago Janta Party,6303,37,6340,0.54
8,MARANG HANSADA,Peoples Party of India (Democratic),5875,14,5889,0.5
9,BINDU KUMARI,Samaj Shakti Party,5866,18,5884,0.5
10,NOTA,None of the Above,22866,73,22939,1.96
1,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,566867,689,567556,47.46
2,SANTOSH KUMAR,Janata Dal (United),543313,396,543709,45.47
3,BIMA BHARTI,Rashtriya Janata Dal,27017,103,27120,2.27
4,ARUN DAS,Bahujan Samaj Party,10595,24,10619,0.89
5,SATYENDRA YADAV,Independent,8457,2,8459,0.71
6,NOMAN ALAM,Independent,7693,0,7693,0.64
7,KISHOR KUMAR YADAV,All India Forward Bloc,6846,8,6854,0.57
8,NOTA,None of the Above,23819,15,23834,1.99
1,DINESH CHANDRA YADAV,Janata Dal (United),639758,891,640649,52.96
2,DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,464982,1133,466115,38.53
3,SURESHWAR PODDAR,Aadarsh Mithila Party,15423,11,15434,1.28
4,MD ARSHAD HUSSAIN,Bahujan Samaj Party,12947,44,12991,1.07
5,JAWAHAR LAL JAISWAL,Socialist Unity Centre Of India (COMMUNIST),11320,2,11322,0.94
6,UCHESHWAR PANDIT,Samajhdar Party,11127,22,11149,0.92
7,PRO KAMESHWAR YADAV,Bharatiya Jan Kranti Dal (Democratic),10665,9,10674,0.88
8,AJABLAL MEHTA,Yuva Krantikari Party,8720,16,8736,0.72
9,NOTA,None of the Above,32557,68,32625,2.7
1,GOPAL JEE THAKUR,Bharatiya Janata Party,565706,924,566630,55.33
2,LALIT KUMAR YADAV,Rashtriya Janata Dal,387408,1066,388474,37.93
3,SAROJ CHAUDHARY,Mithilanchal Mukti Morcha,18018,7,18025,1.76
4,DURGANANDA MAHAVIR NAYAK,Bahujan Samaj Party,8259,9,8268,0.81
5,MITHILESH MAHTO,Independent,6983,9,6992,0.68
6,KISHOR KUMAR DAS,Akhil Bhartiya Parivar Party,5716,5,5721,0.56
7,RAJNISH KUMAR,Jantantra Awaj Party,3634,4,3638,0.36
8,RANJEET KUMAR RAM,Wazib Adhikar Party,2529,3,2532,0.25
9,NOTA,None of the Above,23881,23,23904,2.33
1,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,618569,1180,619749,55.71
2,AJAY NISHAD,Indian National Congress,383759,1063,384822,34.59
3,ALOK KUMAR SINH,Independent,17225,0,17225,1.55
4,AWADHESH PRASAD SINGH,Independent,15617,1,15618,1.4
5,JITENDRA KUMAR,Independent,8692,8,8700,0.78
6,NILIMA KUMARI,Independent,7309,1,7310,0.66
7,VIJAYESH KUMAR,Bahujan Samaj Party,6530,17,6547,0.59
8,AJAY SAHNI,Independent,5157,1,5158,0.46
9,SUNITA KUMARI,Bajjikanchal Vikas Party,4791,1,4792,0.43
10,MOHAMMAD ANZARUL HASAN,All India Majlis-E-Ittehadul Muslimeen,4121,10,4131,0.37
11,MD HAIDAR,Independent,3897,0,3897,0.35
12,MUKESH KUMAR,Independent,3225,0,3225,0.29
13,SUDHIR KUMAR OJHA,Bhartiya Sarthak Party,2890,3,2893,0.26
14,SABINA KHATOON,Indian National League,2445,8,2453,0.22
15,SANDIP KUMAR,Jantantra Awaj Party,1968,3,1971,0.18
16,ARVIND KUMAR CHAUDHARY,Socialist Unity Centre Of India (COMMUNIST),1852,5,1857,0.17
17,AJITANSH GAUR,The Agrani Party,1840,3,1843,0.17
18,SANJAY KUMAR,Independent,1811,1,1812,0.16
19,BASKIT KUMAR SHARMA,Independent,1778,1,1779,0.16
20,SONELAL PASWAN,Independent,1730,1,1731,0.16
21,MANORANJAN KUMAR,Independent,1595,3,1598,0.14
22,NAND KISHORE SHARMA,Apna Kisan Party,1521,1,1522,0.14
23,ABHAY KUMAR,Samata Party,1170,4,1174,0.11
24,PRABHAKAR RANJAN,Ekam Sanatan Bharat Dal,1115,1,1116,0.1
25,RAJU SINGH,Independent,984,0,984,0.09
26,SAROJ KUMAR CHAUDHARY,Independent,965,0,965,0.09
27,NOTA,None of the Above,7539,49,7588,0.68
1,VEENA DEVI,Lok Janshakti Party(Ram Vilas),566225,818,567043,48.38
2,VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,476199,1210,477409,40.73
3,VIKKY KUMAR,Independent,34253,3,34256,2.92
4,SHAMBHU KUMAR SINGH,Bahujan Samaj Party,21367,69,21436,1.83
5,RAJ NARAYAN YADAV,Independent,9614,2,9616,0.82
6,PARAMHANS SINGH,Independent,5316,1,5317,0.45
7,HARI NARAYAN RAM,Viro Ke Vir Indian Party,5097,3,5100,0.44
8,RAMESHWAR MAHTO,Bhartiya Sarthak Party,4141,9,4150,0.35
9,KUMAR SHISHIR,Independent,3903,4,3907,0.33
10,MUHAMAD AVAS,Independent,3758,0,3758,0.32
11,ABHA RAY,Peoples Party of India (Democratic),3263,11,3274,0.28
12,NARESH RAM,Socialist Unity Centre Of India (COMMUNIST),2998,11,3009,0.26
13,VINOD KUMAR SHARMA,Jantantra Awaj Party,2929,5,2934,0.25
14,ANIKET RAJ,Rashtriya Samaj Paksha,2018,7,2025,0.17
15,BALENDRA TIWARY,Hindustan Janta Party Secular,1360,6,1366,0.12
16,NOTA,None of the Above,27420,40,27460,2.34
1,DR. ALOK KUMAR SUMAN,Janata Dal (United),510329,1537,511866,48.15
2,PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,383065,1621,384686,36.19
3,DINANATH MANJHI,All India Majlis-E-Ittehadul Muslimeen,29900,92,29992,2.82
4,SUJEET KUMAR RAM,Bahujan Samaj Party,29145,127,29272,2.75
5,ANIL RAM,Independent,12988,14,13002,1.22
6,SATYENDRA BAITHA,Independent,12253,16,12269,1.15
7,BHOLA HARIJAN,Independent,11138,2,11140,1.05
8,RAM KUMAR MANJHI,Gana Suraksha Party,8531,9,8540,0.8
9,NAMI RAM,Independent,6716,0,6716,0.63
10,SURENDRA RAM,Bhartiya Rashtriya Dal,6673,39,6712,0.63
11,JITENDRA RAM,Bahujan Mukti Party,5942,27,5969,0.56
12,NOTA,None of the Above,42713,150,42863,4.03
1,VIJAYLAKSHMI DEVI,Janata Dal (United),385625,883,386508,38.73
2,HENA SHAHAB,Independent,293084,567,293651,29.42
3,AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal,198063,760,198823,19.92
4,SATYENDRA KUSHWAHA,Independent,21558,7,21565,2.16
5,JEEWAN KUMAR,Independent,18489,101,18590,1.86
6,DILIP KU SINGH,Bahujan Samaj Party,12032,80,12112,1.21
7,SANJAY KUMAR SAH,Bhartiya Lok Nayak Party,8851,28,8879,0.89
8,DR. RAVINDRA NATH SHUKLA,Independent,8681,12,8693,0.87
9,DEVKANT MISHRA,Independent,6162,19,6181,0.62
10,PRAMOD KUMAR,Independent,5666,2,5668,0.57
11,PRAKASH MANI TIWARI,Independent,4503,6,4509,0.45
12,MAHENDRA SINGH ALIAS MAHENDRA RAI,Independent,3920,2,3922,0.39
13,DILIP KUMAR SINGH,Independent,1947,6,1953,0.2
14,NOTA,None of the Above,26925,39,26964,2.7
1,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,527974,1559,529533,52.22
2,AAKASH KUMAR SINGH,Indian National Congress,425887,995,426882,42.09
3,TRIBHUWAN RAM,Peoples Party of India (Democratic),14830,8,14838,1.46
4,MADHUSUDAN SINGH,Bahujan Samaj Party,13359,43,13402,1.32
5,AKHILESHWAR PRASAD SINGH,All India Majlis-E-Ittehadul Muslimeen,7750,17,7767,0.77
6,NOTA,None of the Above,21662,25,21687,2.14
1,DR.SANJAY JAISWAL,Bharatiya Janata Party,578959,1462,580421,53.43
2,MADAN MOHAN TIWARI,Indian National Congress,441363,2490,443853,40.86
3,SANJAY KUMAR,Viro Ke Vir Indian Party,13139,6,13145,1.21
4,UPENDRA RAM,Bahujan Samaj Party,10913,49,10962,1.01
5,MOHAMMAD SOAIB,Independent,8992,2,8994,0.83
6,RAUSHAN KUMAR SRIVASTAVA,Independent,8496,9,8505,0.78
7,MD. KALAM SAI,Independent,4922,3,4925,0.45
8,NAFISH AHMAD,Independent,4163,0,4163,0.38
9,NOTA,None of the Above,11223,65,11288,1.04
1,RAJIV PRATAP RUDY,Bharatiya Janata Party,470234,1518,471752,46.18
2,ROHINI ACHARYA,Rashtriya Janata Dal,456763,1328,458091,44.84
