S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,CHINTAMANI MAHARAJ,Bharatiya Janata Party,712172,1028,713200,49.01
2,SHASHI SINGH KORAM,Indian National Congress,647329,1049,648378,44.55
3,DR. L. S. UDAY SINGH,Gondvana Gantantra Party,15626,25,15651,1.08
4,SANJAY KUMAR,Bahujan Samaj Party,15182,17,15199,1.04
5,RAMADHAR SINGH,Independent,10857,4,10861,0.75
6,PRINCE ABHISHEK KUJUR,Independent,6803,12,6815,0.47
7,URMILA SINGH,Independent,5779,5,5784,0.4
8,ARVIND KACHHAP,Independent,4166,18,4184,0.29
9,KANTA MINJ,Akhil Bhartiya Parivar Party,4008,8,4016,0.28
10,JEROME MINJ,Bharat Adivasi Party,3035,25,3060,0.21
11,NOTA,None of the Above,28107,14,28121,1.93
1,MAHESH KASHYAP,Bharatiya Janata Party,456573,1825,458398,45.5
2,KAWASI LAKHMA,Indian National Congress,402378,775,403153,40.02
3,PHULSINGH KACHLAM,Communist Party of India,35850,37,35887,3.56
4,AYTU RAM MANDAVI,Bahujan Samaj Party,19615,32,19647,1.95
5,SUNDAR BAGHEL,Independent,14203,4,14207,1.41
6,PRAKASH KUMAR GOTA,Independent,11209,36,11245,1.12
7,KANWAL SINGH BAGHEL,Rashtriya Jansabha Party,8785,15,8800,0.87
8,SHIVRAM NAG,Sarv Adi Dal,8269,10,8279,0.82
9,NARENDRA BURKA,Hamar Raj Party,4382,5,4387,0.44
10,JAGDISH NAG,Azad Janata Party,3569,23,3592,0.36
11,TIKAM NAGWANSHI,Gondvana Gantantra Party,3030,12,3042,0.3
12,NOTA,None of the Above,36733,25,36758,3.65
1,BHOJRAJ NAG,Bharatiya Janata Party,595185,2439,597624,47.23
2,BIRESH THAKUR,Indian National Congress,593268,2472,595740,47.08
3,TILAK RAM MARKAM,Bahujan Samaj Party,11694,76,11770,0.93
4,SONSINGH,Ambedkarite Party of India,11351,11,11362,0.9
5,JIVAN LAL MATLAM,Sarv Adi Dal,8935,14,8949,0.71
6,SUKCHAND NETAM,Gondvana Gantantra Party,8617,106,8723,0.69
7,VINOD NAGWANSHI,Hamar Raj Party,4958,51,5009,0.4
8,THAKESH MAHLA,Bhartiya Shakti Chetna Party,4201,21,4222,0.33
9,BHOJRAM MANDAVI,Rashtriya Jansabha Party,3326,35,3361,0.27
10,NOTA,None of the Above,18618,51,18669,1.48
1,RADHESHYAM RATHIYA,Bharatiya Janata Party,806667,1608,808275,55.63
2,DR. MENKA DEVI SINGH,Indian National Congress,566487,1397,567884,39.08
3,INNOCENT KUJUR - BIDANA ORAON,Bahujan Samaj Party,15493,107,15600,1.07
4,ALBERT MING,Hamar Raj Party,10915,44,10959,0.75
5,PRAKASH KUMAR URANW,Independent,7719,3,7722,0.53
6,RUPNARAYAN EKKA,Independent,7410,10,7420,0.51
7,GOWARDHAN RATHIA,Independent,4591,2,4593,0.32
8,POOJA SIDAR,Independent,4159,8,4167,0.29
9,MADAN PRASAD GOND,Gondvana Gantantra Party,3007,8,3015,0.21
10,GULESHWAR PAINKRA,Bhartiya Shakti Chetna Party,2618,8,2626,0.18
11,UDAY KUMAR RATHIA,Independent,2127,2,2129,0.15
12,ABHAY KUMAR EKKA,Independent,1808,17,1825,0.13
13,BADAL EKKA,Sarv Adi Dal,1714,14,1728,0.12
14,NOTA,None of the Above,14993,29,15022,1.03
1,KAMLESH JANGDE,Bharatiya Janata Party,675740,2459,678199,48.71
2,DR. SHIVKUMAR DAHARIYA,Indian National Congress,616131,2068,618199,44.4
3,DR. ROHIT DAHARIA,Bahujan Samaj Party,48089,412,48501,3.48
4,ENGINEER REVA KURREY,Independent,8158,1,8159,0.59
5,AD. T.R. NIRALA,Independent,5792,2,5794,0.42
6,ANIL MANHAR,Hamar Raj Party,5770,10,5780,0.42
7,VIDYA DEVI SONI,Independent,4877,4,4881,0.35
8,MINA CHAUHAN,Independent,2929,2,2931,0.21
9,ANAND GILHARE,Independent,2876,1,2877,0.21
10,DEEPAK KUMAR KHUNTE,Aazad Samaj Party (Kanshi Ram),1822,7,1829,0.13
11,ARVIND KUMAR,Independent,1710,5,1715,0.12
12,GOPAL PRASAD KHUNTE,Bhartiya Shakti Chetna Party,1471,12,1483,0.11
13,VIJAYLAXMI SURYAWANSHI NAT,Asankhya Samaj Party,1417,5,1422,0.1
14,SIMA MAHILANGE,Independent,1333,3,1336,0.1
15,ADVOCATE SHAILENDRA BANJARE (SHAKTIPUTRA),Shakti Sena (Bharat Desh),1248,5,1253,0.09
16,VIJAY KUMAR KURRE,Rashtriya Jansabha Party,981,2,983,0.07
17,BRINDA CHAUHAN,Chhattisgarh Vikas Ganga Rashtriya Party,921,3,924,0.07
18,JAGJIVAN RAM SATNAMI,Azad Janata Party,833,4,837,0.06
19,NOTA,None of the Above,5098,39,5137,0.37
1,JYOTSNA CHARANDAS MAHANT,Indian National Congress,569098,1084,570182,46.53
2,SAROJ PANDEY,Bharatiya Janata Party,525733,1166,526899,43.0
3,SHYAM SINGH MARKAM,Gondvana Gantantra Party,48498,89,48587,3.97
