S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,PATEL UMESHBHAI BABUBHAI,Independent,42469,54,42523,46.02
2,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,36243,55,36298,39.28
3,KETAN DAHYABHAI PATEL,Indian National Congress,11237,21,11258,12.18
4,UMESH PATEL,Navsarjan Bharat Party,545,0,545,0.59
5,SAKIL LATIF KHAN,Independent,323,0,323,0.35
6,IDRISH G MULLA,Independent,247,0,247,0.27
7,PATEL UMESHBHAI BABU,Independent,238,0,238,0.26
8,NOTA,None of the Above,977,1,978,1.06
1,DELKAR KALABEN MOHANBHAI,Bharatiya Janata Party,120833,241,121074,58.89
2,AJIT RAMJIBHAI MAHALA,Indian National Congress,63423,67,63490,30.88
3,KURADA DEEPAKBHAI,Bharat Adivasi Party,10188,9,10197,4.96
4,BORSA SANDIPBHAI S,Bahujan Samaj Party,3147,5,3152,1.53
5,SHAILESHBHAI VARTHA,Independent,2522,2,2524,1.23
6,NOTA,None of the Above,5144,7,5151,2.51
