S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,SHRIPAD YESSO NAIK,Bharatiya Janata Party,253812,3514,257326,56.43
2,RAMAKANT KHALAP,Indian National Congress,140191,1120,141311,30.99
3,TUKARAM BHARAT PARAB,Revolutionary Goans Party,45460,233,45693,10.02
4,MILAN R VAINGANKAR,Bahujan Samaj Party,1600,25,1625,0.36
5,MR SAKHARAM NAIK,Akhil Bhartiya Parivar Party,1404,13,1417,0.31
6,SHAKEEL JAMAL SHAIKH,Independent,800,7,807,0.18
7,THOMAS AUGUSTINE FERNANDES,Independent,746,13,759,0.17
8,ADV VISHAL NAIK,Independent,744,8,752,0.16
9,NOTA,None of the Above,6297,31,6328,1.39
1,CAPTAIN VIRIATO FERNANDES,Indian National Congress,216022,1814,217836,48.35
2,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,201806,2495,204301,45.35
3,RUBERT PEREIRA,Revolutionary Goans Party,18718,167,18885,4.19
4,DR SWETA GAONKAR,Bahujan Samaj Party,1545,36,1581,0.35
5,DEEPKUMAR D MAPARI,Independent,1309,8,1317,0.29
6,DR KALIDAS VAINGANKAR,Independent,707,13,720,0.16
7,ALEXY FERNANDES,Independent,526,16,542,0.12
8,HARISHCHANDRA SUDHAKAR NAIK,Corruption Abolition Party,487,14,501,0.11
9,NOTA,None of the Above,4804,33,4837,1.07
