S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,656979,2595,659574,60.23
2,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,389384,1408,390792,35.68
3,VIJAY BHACHRA,Bahujan Samaj Party,6075,36,6111,0.56
4,VANAZARA HIRABEN DALPATBHAI,Independent,5145,6,5151,0.47
5,BABULAL LADHA CHAVDA,Independent,3348,6,3354,0.31
6,KAVITABEN DINESHBHAI MACHCHHOYA,Independent,3342,24,3366,0.31
7,DEVABHAI MITHABHAI GOHIL,Rashtriya Power Party,2087,14,2101,0.19
8,SHAMLIA VIRJI CHAKU,Hindvi Swarajyay Dal,1560,13,1573,0.14
9,ARVIND ASHOK SANGHELA,Gujarat Sarva Samaj Party,1509,17,1526,0.14
10,BOCHIYA BHIMJI BHIKHA,Sarva Samaj Janata Party,1491,6,1497,0.14
11,RAMJIBHAI JAKHUBHAI DAFDA,Right to Recall Party,1357,13,1370,0.13
12,NOTA,None of the Above,18604,138,18742,1.71
1,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,850846,7138,857984,67.37
2,DHANANI PARESH,Indian National Congress,368964,4760,373724,29.35
3,CHAMANBHAI NAGJIBHAI SAVSANI,Bahujan Samaj Party,10356,109,10465,0.82
4,AJAGIYA NIRALBHAI AMRUTLAL,Independent,3674,6,3680,0.29
5,BHAVESHBHAI KANTILAL PIPALIYA,Independent,2846,10,2856,0.22
6,BHAVESH UPENDRABHAI ACHARYA,Independent,2806,34,2840,0.22
7,PRAKASH GOVINDBHAI SINDHAV,Independent,2355,34,2389,0.19
8,ZALA NAYAN J.,Independent,2321,29,2350,0.18
9,JIGNESHBHAI MAHAJAN,Independent,1322,10,1332,0.1
10,NOTA,None of the Above,15288,634,15922,1.25
1,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,625962,7156,633118,68.15
2,LALIT VASOYA,Indian National Congress,245677,4081,249758,26.89
3,N. P. RATHOD,Bahujan Samaj Party,10560,362,10922,1.18
4,NATHABHAI BHURABHAI ODEDRA,Independent,7164,132,7296,0.79
5,LAKHANSI ODEDARA,Viro Ke Vir Indian Party,3130,33,3163,0.34
6,SOLANKI JATIN DHIRUBHAI,Independent,2469,17,2486,0.27
7,SODHA HUSHENBHAI ALIBHAI,Independent,2432,3,2435,0.26
8,RATHOD CHANDUBHAI MOHANBHAI,Independent,1705,24,1729,0.19
9,SHEKHAVA NILESHKUMAR RAMJIBHAI,Samajwadi Party,1587,22,1609,0.17
10,SIDHHAPARA HARSUKHLAL JIVANBHAI,Log Party,1059,13,1072,0.12
11,MAHEMUDBHAI SAIYAD,Independent,1023,6,1029,0.11
12,JETHAVA BIPINKUMAR BHIKHALAL,Independent,786,11,797,0.09
13,NOTA,None of the Above,13004,559,13563,1.46
1,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,618120,1929,620049,58.98
2,ADVOCATE J. P. MARAVIYA,Indian National Congress,380949,1092,382041,36.34
3,JAYSUKH NATHUBHAI PINGALSUR,Bahujan Samaj Party,11429,33,11462,1.09
4,KANZARIYA RANCHHODBHAI NARANBHAI,Viro Ke Vir Indian Party,6973,29,7002,0.67
5,VIJAYSINH PRAVINSINH JADEJA,Independent,4817,17,4834,0.46
6,RATHOD PUNJABHAI PALABHAI,Independent,3727,5,3732,0.36
7,BHURALAL MEGHJIBHAI PARMAR,Independent,1923,5,1928,0.18
8,GHUGHA ALARAKHABHAI ISHAKBHAI,Independent,1582,3,1585,0.15
9,KHIRA YUSUF SIDIKBHAI,Independent,1368,3,1371,0.13
10,NANJI AMARSHI BATHWAR,Independent,1365,5,1370,0.13
11,ANWAR NOORMAMAD SANGHAR,Independent,1299,0,1299,0.12
12,PARESHBHAI PARSOTTAMBHAI MUNGARA,Rashtriya Mahaswaraj Bhumi Party,1266,4,1270,0.12
13,POPATPUTRA RAFIK ABUBAKAR,Independent,1133,5,1138,0.11
14,NADEEM MAHAMMAD HALA,Independent,1069,1,1070,0.1
15,NOTA,None of the Above,10972,112,11084,1.05
1,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,578516,5533,584049,54.67
2,JOTVA HIRABHAI ARJANBHAI,Indian National Congress,444156,4399,448555,41.99
3,MAKADIA JAYANTILAL MALDEBHAI,Bahujan Samaj Party,7132,150,7282,0.68
4,VADHER DANSING CHINABHAI,Independent,5161,28,5189,0.49
5,DEVENDRABHAI DHANJIBHAI MOTIVARAS,Independent,2302,7,2309,0.22
6,BORICHANGAR BHAVESH DALPATRAI,Independent,1884,24,1908,0.18
7,DAKI NATHABHAI MENSIBHAI,Independent,1329,15,1344,0.13
8,ISHWAR RAMBHAI SOLANKI,Right to Recall Party,1150,21,1171,0.11
9,ALPESHKUMAR CHANDULAL TRAMBADIYA,Log Party,943,21,964,0.09
10,GORDHANBHAI MANGABHAI GOHEL,Independent,758,17,775,0.07
11,AARAB HASAM SUMRA,Independent,689,5,694,0.06
12,NOTA,None of the Above,13434,579,14013,1.31
1,BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party,577820,3052,580872,66.28
2,JENNY THUMMAR,Indian National Congress,258231,1573,259804,29.64
3,CHAUHAN RAVAJIBHAI MULABHAI,Bahujan Samaj Party,7486,57,7543,0.86
4,SANKHAT VIKRAMBHAI VISABHAI,Global Republican Party,4958,51,5009,0.57
5,BAVKUBHAI AMARUBHAI VALA,Independent,3733,44,3777,0.43
6,BHAVESHBHAI JENTIBHAI RANK,Independent,3663,8,3671,0.42
7,PUNJABHAI BAVBHAI DAFDA,Independent,2598,23,2621,0.3
8,PRITESH CHAUHAN (LALU),Independent,1759,21,1780,0.2
9,NOTA,None of the Above,11125,224,11349,1.29
