S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,VARUN CHAUDHRY,Indian National Congress,662592,1065,663657,49.28
2,BANTO KATARIA,Bharatiya Janata Party,613786,835,614621,45.64
3,PAWAN RANDHAWA,Bahujan Samaj Party,23535,48,23583,1.75
4,GURPREET SINGH,Indian National Lok Dal,8902,84,8986,0.67
5,KAMAL KUMAR BARARA,Aazad Samaj Party (Kanshi Ram),8741,13,8754,0.65
6,KIRAN PUNIA,Jannayak Janta Party,6055,37,6092,0.45
7,RAKESH KUMAR,Haryana Jansena Party,3110,1,3111,0.23
8,BALJEET SINGH,Bharatheeya Jawan Kisan Party,2459,43,2502,0.19
9,MEHAR SINGH CHALIA,Ekam Sanatan Bharat Dal,2383,14,2397,0.18
10,GULAB SINGH NARWAL,Peoples Party of India (Democratic),1683,7,1690,0.13
11,SURAJ KUMAR,Bahujan Mukti Party,1501,5,1506,0.11
12,MOHAR SINGH STATION MASTER (RETD.),Independent,1257,6,1263,0.09
13,BETA MAM CHAND RATTUWALA,Bharatiya Yuva Jan Ekta Party,1248,3,1251,0.09
14,DR. NITESH CHOPRA (HONEY),Bhartiya Shakti Chetna Party,854,3,857,0.06
15,NOTA,None of the Above,6427,25,6452,0.48
1,KRISHAN PAL,Bharatiya Janata Party,787332,1237,788569,53.6
2,MAHENDER PRATAP SINGH,Indian National Congress,614908,747,615655,41.84
3,KISHAN THAKUR,Bahujan Samaj Party,25164,42,25206,1.71
4,SUNIL TEWATIA,Indian National Lok Dal,8057,28,8085,0.55
5,NALIN HOODA,Jannayak Janta Party,5335,26,5361,0.36
6,SAWATANTAR SINGH CHAUHAN,Jan Shakti Dal,2951,4,2955,0.2
7,NEERAJ JATAV,Independent,2104,4,2108,0.14
8,HARI SHANKER RAJVANS,Adim Bhartiya Dal,1584,0,1584,0.11
9,ATUL,Independent,1456,2,1458,0.1
10,PANDIT SUMIT KUMAR SHARMA,AARAKSHAN VIRODHI PARTY,1439,5,1444,0.1
11,BRIJABALA,Peoples Party of India (Democratic),1370,10,1380,0.09
12,SHYAM SUNDER SINGH,Bhartiya Shakti Chetna Party,1247,0,1247,0.08
13,MAHESH PRATAP SHARMA,Rashtriya Vikas Party,1237,3,1240,0.08
14,SATAY DEO YADAV,Buland Bharat Party,953,2,955,0.06
15,RANDHEER SINGH ALIAS DHEERU KHATANA,Akhil Bhartiya Kisan Majdoor Party,919,5,924,0.06
16,SUNIL KUMAR,Independent,888,1,889,0.06
17,BHARAT BHUSHAN KOLI,Rashtra Nirman Party,807,1,808,0.05
18,SHIV NARAYAN BABA DUBEY,Kisan Mazdoor Sangharsh Party,769,2,771,0.05
19,GYAN CHAND BAINSLA,Samrat Mihir Bhoj Samaj Party,751,5,756,0.05
20,RAJESH GAUTAM,Independent,662,1,663,0.05
21,SWAMI RAJENDRA DEV JI,Independent,660,3,663,0.05
22,GIRRAJ,Independent,612,2,614,0.04
23,LEKHRAM DABANG,Independent,610,5,615,0.04
24,SHAKILA HUSSAIN,Loktantrik Janshakti Party,547,4,551,0.04
25,NOTA,None of the Above,6808,13,6821,0.46
1,NAVEEN JINDAL,Bharatiya Janata Party,540677,1498,542175,44.96
2,DR SUSHIL GUPTA,Aam Aadmi Party,511770,1384,513154,42.55
3,ABHAY SINGH CHAUTALA,Indian National Lok Dal,78362,346,78708,6.53
4,DEEPAK MEHRA,Bahujan Samaj Party,20864,80,20944,1.74
5,JAI KUMAR SAINI HAMIDPUR,Independent,8090,3,8093,0.67
6,PALA RAM SAINI,Jannayak Janta Party,6159,23,6182,0.51
7,SATBIR KASHYAP,Rashtriya Janshakti Party(Eklavya),3251,12,3263,0.27
8,KHAZAN SINGH SEHGAL,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2824,35,2859,0.24
9,MAHAVIR SINGH,Ekam Sanatan Bharat Dal,2779,4,2783,0.23
10,INDERJEET KAMBOJ,Peoples Party of India (Democratic),2107,6,2113,0.18
11,PANDIT ANIL UPADHYAY,Independent,2053,3,2056,0.17
12,ADV ASHWINI SHARMA HRITTWAL,Independent,2027,2,2029,0.17
13,COMRADE OM PARKASH SHASTRI,Socialist Unity Centre Of India (COMMUNIST),1806,6,1812,0.15
14,SURENDER SINGH,Independent,1599,0,1599,0.13
15,AMIT MALIK,Independent,1503,3,1506,0.12
16,PATASHO DEVI EX-SARPANCH,Independent,1379,0,1379,0.11
17,DR MAHESH CHAND GAUR,Independent,1338,2,1340,0.11
18,JAI PARKASH SHARMA,Independent,1152,2,1154,0.1
19,VARUN GUPTA,Independent,1129,5,1134,0.09
20,SATNAM BHAZIGAR,Loktantrik Lok Rajyam Party,1063,3,1066,0.09
21,NARESH KUMAR,Samata Party,1028,4,1032,0.09
22,SATISH DHULL,Bharatiya Asha Party,991,6,997,0.08
23,ADVOCATE PARDEEP SAINI,Rashtriya Garib Dal,958,2,960,0.08
24,SEWA SINGH,Independent,717,1,718,0.06
25,ER VISHAL KUMAR,Independent,715,0,715,0.06
