S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,DR RAJEEV BHARDWAJ,Bharatiya Janata Party,622482,10311,632793,61.03
2,ANAND SHARMA,Indian National Congress,374346,6552,380898,36.74
3,REKHA CHAUDHARY,Bahujan Samaj Party,7478,275,7753,0.75
4,ADVOCATE SANJAY SHARMA,Independent,2304,15,2319,0.22
5,DR KEHAR SINGH,Independent,2129,49,2178,0.21
6,JEEVAN KUMAR,Akhil Bhartiya Parivar Party,1441,35,1476,0.14
7,NARAIN SINGH DOGRA,Himachal Janta Party,1125,46,1171,0.11
8,BHUVNESH KUMAR,Rashtriya Devbhumi Party,701,55,756,0.07
9,DEV RAJ BHARDWAJ,Rashtriya Samaj Dal (R),588,19,607,0.06
10,ACHAL SINGH,Independent,491,54,545,0.05
11,NOTA,None of the Above,6260,112,6372,0.61
1,KANGNA RANAUT,Bharatiya Janata Party,527463,9559,537022,52.87
2,VIKRAMADITYA SINGH,Indian National Congress,453760,8507,462267,45.51
3,DR. PRAKASH CHAND BHARDWAJ,Bahujan Samaj Party,4320,73,4393,0.43
4,NARENDER KUMAR,Rashtriya Devbhumi Party,2422,25,2447,0.24
5,RAKHEE GUPTA,Independent,1014,37,1051,0.1
6,SUBHASH MOHAN SNEHI,Independent,963,11,974,0.1
7,VINAY KUMAR,Akhil Bhartiya Parivar Party,674,16,690,0.07
8,MAHESH SAINI,Himachal Janta Party,641,13,654,0.06
9,DINESH KUMAR BHATI,Independent,375,6,381,0.04
10,ASHUTOSH MAHANT,Independent,260,26,286,0.03
11,NOTA,None of the Above,5586,59,5645,0.56
1,ANURAG SINGH THAKUR,Bharatiya Janata Party,593055,14013,607068,57.97
2,SATPAL RAIZADA,Indian National Congress,414828,9883,424711,40.55
3,HEM RAJ,Bahujan Samaj Party,2694,64,2758,0.26
4,JAGDEEP KUMAR,Rashtriya Devbhumi Party,1738,26,1764,0.17
5,SURENDER KUMAR GAUTAM,Independent,1401,9,1410,0.13
6,SUBEDAR MAJOR KULWANT SINGH PATIAL,Bharatheeya Jawan Kisan Party,1176,63,1239,0.12
7,NAND LAL,Independent,978,41,1019,0.1
8,SUMIT RANA,Akhil Bhartiya Parivar Party,666,9,675,0.06
9,RAMESH CHAND SARTHI,Independent,544,16,560,0.05
10,ARUN ANKESH SYAL,Ekam Sanatan Bharat Dal,412,21,433,0.04
11,GARIB DASS KATOCH,Independent,210,36,246,0.02
12,GOPI CHAND ATTARI,Independent,168,34,202,0.02
13,NOTA,None of the Above,5100,78,5178,0.49
1,Suresh Kumar Kashyap,Bharatiya Janata Party,513936,5812,519748,53.58
2,Vinod Sultanpuri,Indian National Congress,423388,4909,428297,44.16
3,Anil Kumar Manget,Bahujan Samaj Party,6379,121,6500,0.67
4,Suresh Kumar,Rashtriya Devbhumi Party,4766,48,4814,0.5
5,Madan Lal,Akhil Bhartiya Parivar Party,4633,43,4676,0.48
6,NOTA,None of the Above,5876,54,5930,0.61
