S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,ABDUL RASHID SHEIKH,Independent,469574,2907,472481,45.7
2,OMAR ABDULLAH,Jammu & Kashmir National Conference,266301,2038,268339,25.95
3,SAJAD GANI LONE,Jammu & Kashmir People Conference,171582,1657,173239,16.76
4,MIR MOHAMMAD FAYAZ,Jammu & Kashmir Peoples Democratic Party,27173,315,27488,2.66
5,SURAIYA NISSAR,Independent,21565,53,21618,2.09
6,FIRDOUS AHMAD BHAT,Independent,15707,15,15722,1.52
7,SHAFEEQA BEGUM,Independent,6203,11,6214,0.6
8,PEERZADA MUDASIR RASHID SHAH,Jammu & Kashmir National Panthers Party (Bhim),5499,67,5566,0.54
9,KHURSHEED AHMAD SHAH,Rashtriya Jankranti Party,4213,55,4268,0.41
10,MOHAMMAD SULTAN GANAIE,Independent,4054,9,4063,0.39
11,SHADIB HANIEF KHAN,Independent,3668,2,3670,0.35
12,MUDASIR AHMAD TANTARY,Independent,3196,22,3218,0.31
13,NAZIR AHMAD SOFI,Independent,2980,3,2983,0.29
14,SHABIR AHMAD DAR,Independent,2694,6,2700,0.26
15,HILAL AHMAD WAGAY,Independent,2681,8,2689,0.26
16,MEHRAJ UDDIN NAJAR,Independent,2560,10,2570,0.25
17,SYED AMEER SUHAIL,Independent,2409,8,2417,0.23
18,FAROOQ AHMAD BHAT,National Youth Party,2315,28,2343,0.23
19,ARUN KUMAR RAINA,Independent,2161,80,2241,0.22
20,MUNIR AHMAD KHAN,Jammu and Kashmir Nationalist People's Front,2004,15,2019,0.2
21,MUZAFFAR HUSSAIN DAR,Independent,1663,8,1671,0.16
22,MUSHTAQ AHMAD MIR,National Loktantrik Party,1382,15,1397,0.14
23,NOTA,None of the Above,4873,111,4984,0.48
1,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,355294,1572,356866,52.85
2,WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party,167666,784,168450,24.95
3,MOHAMMAD ASHRAF MIR,Jammu and Kashmir Apni Party,65494,460,65954,9.77
4,AMIR AHMAD BHAT,Democratic Progressive Azad Party,15061,43,15104,2.24
5,SHEEBAN ASHAI,Independent,13063,8,13071,1.94
6,SAYIM MUSTAFA,Independent,8831,49,8880,1.32
7,JIBRAN FIRDOUS DAR,Independent,5431,67,5498,0.81
8,JAHANGIR AHMAD SHEIKH,Independent,4412,10,4422,0.65
9,SAJAD AHMAD DAR,Independent,3755,9,3764,0.56
10,HAKIKAT SINGH,Jammu & Kashmir National Panthers Party (Bhim),3732,46,3778,0.56
11,RUBINA AKHTER,National Loktantrik Party,2855,21,2876,0.43
12,WASEEM HASSAN SHEIKH,Independent,2838,17,2855,0.42
13,RIYAZ AHMAD BHAT,Independent,2791,1,2792,0.41
14,FAYAZ AHMAD BUTT,Independent,2221,6,2227,0.33
15,SHAHNAZ HUSSAIN SHAH,Independent,2196,7,2203,0.33
16,MOHD YOUSUF BHAT,Gana Suraksha Party,1880,18,1898,0.28
17,WAHEEDA TABASUM SHAH,Independent,1594,12,1606,0.24
18,NISAR AHMAD AHANGAR,Independent,1115,9,1124,0.17
19,MIRZA SAJAD HUSSAIN BEIGH,Independent,1049,15,1064,0.16
20,GHULAM MOHAMMAD WANI,Independent,1028,12,1040,0.15
21,AMIN DAR,Independent,989,7,996,0.15
