S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,607293,6078,613371,50.35
2,TALA MARANDI,Bharatiya Janata Party,430544,4563,435107,35.72
3,LOBIN HEMBRAM,Independent,41592,548,42140,3.46
4,GOPIN SOREN,Communist Party of India (Marxist),37191,100,37291,3.06
5,MAHESH PAHARIYA,Independent,14950,28,14978,1.23
6,AJIT MARANDI,Rashtriya Jansambhavna Party,11243,8,11251,0.92
7,SEBASTION HEMBROM,Independent,9492,1,9493,0.78
8,MARIYAM MARANDI,Bahujan Samaj Party,8225,34,8259,0.68
9,PAUL SOREN,All India Majlis-E-Ittehadul Muslimeen,7854,48,7902,0.65
10,DIPA TUDU,Independent,6847,9,6856,0.56
11,KHALIFA KISKU,Peoples Party of India (Democratic),4092,15,4107,0.34
12,VINOD KUMAR MANDAL,Lokhit Adhikar Party,3774,35,3809,0.31
13,MUNSHI KISKU,Navyug Pragatisheel Morcha,2777,2,2779,0.23
14,LILI HANSDA,Samata Party,2682,7,2689,0.22
15,NOTA,None of the Above,18119,98,18217,1.5
1,JOBA MAJHI,Jharkhand Mukti Morcha,515989,4175,520164,51.62
2,GEETA KORA,Bharatiya Janata Party,349006,2756,351762,34.91
3,DAMODAR SINGH HANSDA,Independent,43838,454,44292,4.4
4,MADHAV CHANDRA KUNKAL,Independent,19729,105,19834,1.97
5,SANGRAM MARDI,Independent,16097,14,16111,1.6
6,PARDESHI LAL MUNDA,Bahujan Samaj Party,8708,34,8742,0.87
7,DURGA LAL MURMU,Independent,4912,12,4924,0.49
8,CHITRASEN SINKU,Jharkhand Party,3188,22,3210,0.32
9,BISHWA VIJAY MARDI,Ambedkarite Party of India,3067,3,3070,0.3
10,ASHA KUMARI RUNDA,Independent,2736,18,2754,0.27
11,KRISHNA MARDI,Jharkhand Mukti Morcha (Ulgulan),2597,18,2615,0.26
12,SUDHA RANI BESRA,Peoples Party of India (Democratic),2398,11,2409,0.24
13,BIR SINGH DEOGAM,Right to Recall Party,1919,8,1927,0.19
