S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,PRIYANKA SATISH JARKIHOLI,Indian National Congress,710823,2638,713461,51.21
2,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,618168,4459,622627,44.69
3,KALLOLIKAR SHAMBHU KRISHNA,Independent,25351,115,25466,1.83
4,SAMMED SARADAR VARDHAMANE,Independent,5351,2,5353,0.38
5,SHRENIK ANNASAHEB JANGATE,Independent,5179,2,5181,0.37
6,APPASAHEB SHRIPATI KURANE,Sarva Janata Party,4635,19,4654,0.33
7,VILAS MANNUR,Independent,4143,7,4150,0.3
8,SATTEPPA DASHARATH KALELI,Bharatheeya Jawan Kisan Party,1304,15,1319,0.09
9,YASIN SHIRAJUDDIN PATAKI,Independent,1279,2,1281,0.09
10,KASHINATH KALLAPPA KURANI,Independent,1097,11,1108,0.08
11,MAHESH ASHOK KASAR,Independent,1002,7,1009,0.07
12,MOHAN GURAPPA MOTANNAVAR,Independent,938,8,946,0.07
13,KUMAR SAMBHAJI DONGARE,Karnataka Rashtra Samithi,930,11,941,0.07
14,PAVANKUMAR BABURAV MALAGE,Bahujan Bharat Party,655,11,666,0.05
15,DR|| KADAYYA HIREMATH (SWAMIJI),Independent,642,5,647,0.05
16,BHIMASEN DATTU SANADI,Independent,614,5,619,0.04
17,GAJANAN L. PUJARI,Independent,591,9,600,0.04
18,JITENDRA SUBHASH NERLE,Independent,452,5,457,0.03
19,NOTA,None of the Above,2571,37,2608,0.19
1,BASAVARAJ BOMMAI,Bharatiya Janata Party,702189,3349,705538,50.55
2,ANANDSWAMY GADDADEVARMATH,Indian National Congress,660191,1834,662025,47.43
3,SUNANDA KARIYAPPA SHIRHATTI,Independent,4705,2,4707,0.34
4,KHAJAMOHIDDIN GUDAGERI,Socialist Party (India),3398,3,3401,0.24
5,GANGADHAR BADIGER,Socialist Unity Centre Of India (COMMUNIST),2264,6,2270,0.16
6,RUDRAPPA BASAPPA KUMBAR,Independent,1352,4,1356,0.1
7,BASAVARAJ B HADI,Independent,1065,6,1071,0.08
8,PRAJAKEEYA SACHINKUMAR KARJEKANNAVAR,Uttama Prajaakeeya Party,1058,14,1072,0.08
9,DR. G H IMRAPUR,Independent,930,23,953,0.07
10,JAGADISH YALLAPPA BANKAPURA,Independent,660,14,674,0.05
11,TANU CHIKKANNA YADAV,Karnataka Rashtra Samithi,628,8,636,0.05
12,H K NARASIMHAPPA,Samajwadi Janata Party(Karnataka),445,1,446,0.03
13,VISHWANATH SHEERI,Ekam Sanatan Bharat Dal,401,0,401,0.03
14,RASHEEDA BEGUM,Indian Movement Party,396,1,397,0.03
15,NOTA,None of the Above,10831,34,10865,0.78
1,PRALHAD JOSHI,Bharatiya Janata Party,713649,2582,716231,52.41
2,VINOD ASOOTI,Indian National Congress,617616,1291,618907,45.29
3,SHAKEELAHMAD.D.MULLA,Independent,5866,6,5872,0.43
4,S. S. PATIL,Independent,5153,8,5161,0.38
5,RAJU ANANTSA NAIKWADI,Independent,3601,0,3601,0.26
6,JAVEED AHAMED BELGAUMKAR.,Naki Bharatiya Ekta Party,3551,7,3558,0.26
7,SHARANABASAV GONAVAR,Socialist Unity Centre Of India (COMMUNIST),1148,19,1167,0.09
8,BALANAGOUDRA MALLIKARJUNAGOUDA,Independent,986,1,987,0.07
9,TAKAPPA YALLAPPA KALAL,Prahar Janshakti Party,901,4,905,0.07
10,BUGADI BASAVALINGAPPA IRAPPA,Uttama Prajaakeeya Party,796,4,800,0.06
11,NAGARAJ. KARENNAVAR.,Karnataka Rashtra Samithi,553,2,555,0.04
12,PRAVEEN H. H.,Independent,545,3,548,0.04
13,DR. GURAPPA H IMRAPUR,Independent,510,4,514,0.04
14,BANKAPUR SHOUKATALI,Tipu Sultan Party,464,9,473,0.03
15,VINOD DASHARATH GHODKE,"Proutist Bloc, India",409,2,411,0.03
16,VENKATESH PRASAD. H,Indian Labour Party (Ambedkar Phule),334,3,337,0.02
17,MOHAMMED ISMAIL MUKTI,Bharatiya Prajagala Kalyana Paksha,313,4,317,0.02
18,NOTA,None of the Above,6126,21,6147,0.45
1,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,777887,4608,782495,61.97
2,DR. ANJALI NIMBALKAR,Indian National Congress,443296,1771,445067,35.25
3,RAJSHEKHAR. SHANKAR. HINDALAGI.,Independent,5384,13,5397,0.43
4,GANAPATI HEGDE,Socialist Unity Centre Of India (COMMUNIST),4427,45,4472,0.35
5,NIRANJAN UDAYSINH SIRDESAI,Independent,4116,53,4169,0.33
6,NAGARAJ. ANANT. SHIRALI.,Independent,2860,22,2882,0.23
7,CHIDANAND HANUMANTHAPPA HARIJAN,Independent,1707,14,1721,0.14
8,PRAJAAKEEYA SUNIL,Uttama Prajaakeeya Party,1523,43,1566,0.12
9,VINAYAK NAIK,Karnataka Rashtra Samithi,1230,33,1263,0.1
10,K. P. PATIL,Independent,901,55,956,0.08
11,KRISHNA BALEGAR,Independent,897,23,920,0.07
12,ARAVIND GOWDA,Independent,872,32,904,0.07
13,AVINASH. NARAYAN. PATIL.,Independent,761,12,773,0.06
14,NOTA,None of the Above,10151,25,10176,0.81
1,DR. PRABHA MALLIKARJUN,Indian National Congress,631453,1606,633059,47.95
2,GAYITHRI SIDDESHWARA,Bharatiya Janata Party,604531,2434,606965,45.97
3,G.B.VINAY KUMAR,Independent,42624,283,42907,3.25
4,T.JABEENA AAPA,Independent,5127,1,5128,0.39
5,D. HANUMANTHAPPA,Bahujan Samaj Party,4462,13,4475,0.34
