S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,RAJMOHAN UNNITHAN,Indian National Congress,487637,3022,490659,44.1
2,M.V BALAKRISHNAN MASTER,Communist Party of India (Marxist),385969,4041,390010,35.06
3,M.L ASHWINI,Bharatiya Janata Party,217996,1562,219558,19.73
4,SUKUMARI M,Bahujan Samaj Party,1599,13,1612,0.14
5,RAJESWARI K.R,Independent,886,11,897,0.08
6,MANOHARAN K,Independent,777,27,804,0.07
7,ANEESH PAYYANNUR,Independent,744,15,759,0.07
8,BALAKRISHNAN N,Independent,594,34,628,0.06
9,N KESHAVA NAYAK,Independent,480,27,507,0.05
10,NOTA,None of the Above,7037,75,7112,0.64
1,SURESH GOPI,Bharatiya Janata Party,409302,3036,412338,37.8
2,ADV V S SUNILKUMAR,Communist Party of India,334462,3190,337652,30.95
3,K MURALEEDHARAN,Indian National Congress,324810,3314,328124,30.08
4,ADV P K NARAYANAN,Bahujan Samaj Party,1985,34,2019,0.19
5,SUNILKUMAR SON OF PRABHAKARAN,Independent,1930,22,1952,0.18
6,DIVAKARAN PALLATH,New Labour Party,812,7,819,0.08
7,M S JAFARGHAN,Independent,689,9,698,0.06
8,PRATHAPAN,Independent,685,24,709,0.06
9,JOSHI VILLADOM,Independent,460,33,493,0.05
10,NOTA,None of the Above,6046,26,6072,0.56
1,BENNY BEHANAN,Indian National Congress,390216,3955,394171,41.44
2,PROF C RAVEENDRANATH,Communist Party of India (Marxist),327382,3035,330417,34.73
3,K A UNNIKRISHNAN,Bharath Dharma Jana Sena,105706,694,106400,11.18
4,ADV CHARLY PAUL,Twenty 20 Party,105020,622,105642,11.11
5,ROSILIN CHACKO,Bahujan Samaj Party,2377,33,2410,0.25
6,BOSCO KALAMASSERY,Independent,1071,16,1087,0.11
7,SUBRAN K R,Independent,789,10,799,0.08
8,DR M PRADEEPAN,Socialist Unity Centre Of India (COMMUNIST),688,6,694,0.07
9,ARUN EDATHADAN,Independent,662,24,686,0.07
10,T S CHANDRAN,Independent,481,50,531,0.06
11,JOHNSON K C,Independent,379,8,387,0.04
12,NOTA,None of the Above,8021,42,8063,0.85
1,HIBI EDEN,Indian National Congress,478989,3328,482317,52.97
2,K. J. SHINE TEACHER,Communist Party of India (Marxist),230059,1873,231932,25.47
3,DR. K. S. RADHAKRISHNAN,Bharatiya Janata Party,143573,927,144500,15.87
4,ADV. ANTONY JUDY,Twenty 20 Party,39658,150,39808,4.37
5,VAYALAR JAYAKUMAR,Bahujan Samaj Party,1480,18,1498,0.16
6,SANDEEP RAJENDRAPRASAD,Independent,734,18,752,0.08
7,CYRILL SKARIA,Independent,663,27,690,0.08
8,PRATHAPAN,Bahujan Dravida Party,414,5,419,0.05
9,BRAHMAKUMAR,Socialist Unity Centre Of India (COMMUNIST),409,3,412,0.05
10,ROHIT KRISHNAN,Independent,408,8,416,0.05
11,NOTA,None of the Above,7715,43,7758,0.85
1,ADV. DEAN KURIAKOSE,Indian National Congress,427129,5243,432372,51.43
2,ADV. JOICE GEORGE,Communist Party of India (Marxist),295975,2670,298645,35.53
3,ADV. SANGEETHA VISWANATHAN,Bharath Dharma Jana Sena,90663,660,91323,10.86
4,ADV. RUSSEL JOY,Bahujan Samaj Party,4397,40,4437,0.53
5,JOMON JOHN,Independent,1764,55,1819,0.22
6,SAJI @ SHAJI,Viduthalai Chiruthaigal Katchi,1493,15,1508,0.18
7,P.K. SAJEEVAN,Independent,1025,9,1034,0.12
8,NOTA,None of the Above,9468,51,9519,1.13
1,ADV K FRANCIS GEORGE,Kerala Congress,358369,6262,364631,43.6
2,THOMAS CHAZHIKADAN,Kerala Congress (M),272418,4947,277365,33.17
3,THUSHAR VELLAPPALLY,Bharath Dharma Jana Sena,163227,1819,165046,19.74
4,VIJU CHERIAN,Bahujan Samaj Party,7075,148,7223,0.86
5,P O PETER,Samajwadi Jan Parishad,1581,56,1637,0.2
6,V P KOCHUMON,Socialist Unity Centre Of India (COMMUNIST),1551,44,1595,0.19
7,JOSSIN K JOSEPH,Independent,1397,92,1489,0.18
8,CHANDRABOSE P,Independent,1071,16,1087,0.13
9,M M SCARIA,Independent,913,14,927,0.11
10,JOEMON JOSEPH SRAMPICKAL A P J JUMAN V S,Independent,875,18,893,0.11
11,ROBY MATTAPPALLY,Independent,697,42,739,0.09
12,SANTHOSH PULICKAL,Independent,686,24,710,0.08
13,SUNIL ALANCHERIL,Independent,499,28,527,0.06
14,MAN HOUSE MANMADHAN,Independent,403,18,421,0.05
15,NOTA,None of the Above,11804,129,11933,1.43
1,K. C VENUGOPAL,Indian National Congress,398246,6314,404560,38.21
2,A. M ARIFF,Communist Party of India (Marxist),335596,5451,341047,32.21
3,SOBHA SURENDRAN,Bharatiya Janata Party,295841,3807,299648,28.3
4,MURALEEDHARAN KONCHERILLAM,Bahujan Samaj Party,1578,48,1626,0.15
5,ARJUNAN,Socialist Unity Centre Of India (COMMUNIST),1301,18,1319,0.12
6,VAYALAR RAJEEVAN,Bahujan Dravida Party,674,1,675,0.06
7,ADV.K.M SHAJAHAN,Independent,627,55,682,0.06
8,SHAJAHAN V.A. S/O ABDUL AZEES,Independent,553,23,576,0.05
9,SATHEESH SHENOI,Independent,473,9,482,0.05
10,JAYAKRISHNAN P,Independent,329,56,385,0.04
11,JYOTHI ABRAHAM,Independent,328,10,338,0.03
12,NOTA,None of the Above,7252,113,7365,0.7
1,KODIKUNNIL SURESH,Indian National Congress,362209,7307,369516,41.29
2,ADV ARUN KUMAR C A,Communist Party of India,352708,5940,358648,40.07
3,BAIJU KALASALA,Bharath Dharma Jana Sena,140830,2154,142984,15.98
4,C MONICHEN,Independent,4893,81,4974,0.56
5,SANTHOSH PALATHUMPADAN,Bahujan Samaj Party,4183,123,4306,0.48
6,SURESH NOORANAD,Ambedkarite Party of India,1441,64,1505,0.17
7,K BIMALJI,Socialist Unity Centre Of India (COMMUNIST),1336,34,1370,0.15
8,MANTHARA VELAYUDHAN,Independent,910,19,929,0.1
9,KOZHUVASSERIL SURESH,Independent,836,20,856,0.1
10,NOTA,None of the Above,9640,243,9883,1.1
