S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,513136,2341,515477,43.41
2,NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress,461808,1139,462947,38.99
3,RAMESH GARG,Bahujan Samaj Party,179492,177,179669,15.13
4,NEERAJ CHANDSORIYA,Aazad Samaj Party (Kanshi Ram),7534,10,7544,0.64
5,RAJENDRA PRASAD KUSHWAH,Independent,2392,10,2402,0.2
6,ER. SURAJ KUSHWAH,Independent,2279,6,2285,0.19
7,RAMNIWASH,Independent,1970,3,1973,0.17
8,RAM SUNDER SHARMA,Independent,1762,5,1767,0.15
9,RAMSEVAK SAKHWAR,Independent,1630,2,1632,0.14
10,HARIKANTH,Independent,1623,0,1623,0.14
11,RAJKUMARI,Independent,1435,6,1441,0.12
12,ANOOP NAGAR,Independent,1308,9,1317,0.11
13,RAJENDRA SINGH GURJER,Independent,1199,11,1210,0.1
14,PIYUSH BRAJESH RAJORIYA,Independent,572,3,575,0.05
15,PRABHU JATAV,Independent,547,8,555,0.05
16,NOTA,None of the Above,4899,15,4914,0.41
1,JANARDAN MISHRA,Bharatiya Janata Party,475439,2020,477459,52.0
2,NEELAM ABHAY MISHRA,Indian National Congress,283187,898,284085,30.94
3,ADV. ABHISHEK MASTER BUDDHSEN PATEL,Bahujan Samaj Party,117089,132,117221,12.77
4,DAYASHANKAR PANDEY,Independent,4609,1,4610,0.5
5,ROSHAN LAL KOL,Independent,4110,12,4122,0.45
6,ER. DEVENDRA SINGH,Sapaks Party,4065,11,4076,0.44
7,ER. RAM KUMAR SONI,Independent,3868,5,3873,0.42
8,RAM GOPAL SINGH,Peoples Party of India (Democratic),3502,7,3509,0.38
9,PRASSAN JEET SINGH,Independent,3306,7,3313,0.36
10,JANARDAN MISHRA,Independent,2274,21,2295,0.25
11,RANJAN GUPTA,Rashtravadi Bharat Party,2151,9,2160,0.24
12,VIPIN SINGH PATEL,Rashtriya Hind Ekta Dal,1799,7,1806,0.2
13,ARUNENDRA NARAYAN PANDEY,Independent,1550,1,1551,0.17
14,ARUN TIWARI 'MINTU',Independent,1113,0,1113,0.12
15,NOTA,None of the Above,6916,20,6936,0.76
1,DR. RAJESH MISHRA,Bharatiya Janata Party,582664,895,583559,50.87
2,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,376336,807,377143,32.87
3,AJAY PRATAP SINGH,Gondvana Gantantra Party,50897,65,50962,4.44
4,PUJAN RAM SAKET (BABBU),Bahujan Samaj Party,33617,39,33656,2.93
5,LAXMAN SINGH BAIS,Independent,30634,28,30662,2.67
6,SANJAY NAMDEO,Communist Party of India,20284,6,20290,1.77
7,BHAGWAN PRASAD TIWARI,Independent,7330,1,7331,0.64
8,SUNIL TIWARI,Independent,5694,5,5699,0.5
9,SHYAMLAL VAISH,Bhartiya Shakti Chetna Party,5340,3,5343,0.47
10,KAILASH PRASAD VERMA,Independent,5289,2,5291,0.46
11,MAHENDRA BHAIYA,Independent,4658,0,4658,0.41
12,DASHRATH PRASAD BAIS,Independent,4131,0,4131,0.36
13,"NARAYAN DAS SHAH ""MULNIWASI""",Peoples Party of India (Democratic),3791,1,3792,0.33
14,DADDI YADAV,Independent,3301,4,3305,0.29
15,SMT. TARA DEVI SINGH,Rashtriya Jansanchar Dal,2701,6,2707,0.24
16,RAMSAHAY SAHU,Aapka Gantantra Party,2430,2,2432,0.21
17,RAMVISHAL KOL,Rashtriya Samaj Paksha,2079,8,2087,0.18
18,NOTA,None of the Above,4212,4,4216,0.37
1,SMT. HIMADRI SINGH,Bharatiya Janata Party,709477,1666,711143,61.73
2,PHUNDE LAL SINGH MARKO,Indian National Congress,312833,970,313803,27.24
3,ANIL SINGH DHURVEY,Gondvana Gantantra Party,35186,92,35278,3.06
4,DHANI RAM KOL,Bahujan Samaj Party,21792,62,21854,1.9
5,SAMAR SHAH SINGH GOND,Communist Party of India,19861,22,19883,1.73
6,KESHKALI BAIGA,Independent,10042,29,10071,0.87
7,GUNJAN SINGH,Independent,7460,19,7479,0.65
8,RAVIKARAN SINGH DHURVE,Bhartiya Shakti Chetna Party,4964,11,4975,0.43
9,AMRIT LAL SINGH UIKEY,Peoples Party of India (Democratic),4701,21,4722,0.41
10,DR. DURGA WATI BHARIA,Chhattisgarh Vikas Ganga Rashtriya Party,3425,19,3444,0.3
11,NOTA,None of the Above,19341,20,19361,1.68
1,ASHISH DUBEY,Bharatiya Janata Party,788721,1412,790133,68.2
2,DINESH YADAV,Indian National Congress,302892,567,303459,26.19
3,RAKESH CHOUDHARY,Bahujan Samaj Party,21389,27,21416,1.85
4,FOJI VIJAY HALDKAR (EX-ARMY),Independent,7028,15,7043,0.61
5,MAHAVEER JAIN,Independent,6463,5,6468,0.56
6,ADVOCATE UDAY KUMAR SAHU,Gondvana Gantantra Party,4832,16,4848,0.42
7,"ER. PRAVIN GAJBHIYE ""DADA""",Independent,3437,3,3440,0.3
8,POORNESH KUMAR JAIN,Independent,2822,1,2823,0.24
9,SWATANATRA SAMAJ SEVI VINAY CHAKRAVARTI,Independent,2488,3,2491,0.22
10,JAGDISH SINGH LODHI,Bhartiya Shakti Chetna Party,1871,4,1875,0.16
11,DINESH YADAV,Independent,1480,4,1484,0.13
12,DR. DHAI AKSHAR,Independent,1399,1,1400,0.12
13,ASHOK RANA,Rashtra Nirman Party,1226,2,1228,0.11
14,SANTOSH KUMAR KUSHWAHA,Independent,1202,2,1204,0.1
15,DASAI RAM KOL,Aadim Samaj Party,1099,1,1100,0.09
16,COMRADE SACHIN JAIN,Socialist Unity Centre Of India (COMMUNIST),868,8,876,0.08
17,GULAB SINGH,Independent,821,8,829,0.07
18,LAL SINGH,Rashtriya Samaj Dal (R),748,4,752,0.06
19,RAMKUMAR PASI,Bahujan Awam Party,684,6,690,0.06
20,NOTA,None of the Above,4964,22,4986,0.43
1,FAGGAN SINGH KULASTE,Bharatiya Janata Party,749761,1614,751375,48.93
2,OMKAR SINGH MARKAM,Indian National Congress,645759,1770,647529,42.17
3,MAHESH KUMAR WATTEE,Gondvana Gantantra Party,37686,111,37797,2.46
4,INDAR SINGH UIKEY,Bahujan Samaj Party,16587,30,16617,1.08
