S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,ADV GOWAAL KAGADA PADAVI,Indian National Congress,744879,1119,745998,53.53
2,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,585847,1031,586878,42.11
3,ANANDA SUKALAL KOLI,Bahujan Samaj Party,10628,16,10644,0.76
4,SUSHILKUMAR JAHANGIR PAWARA,Independent,8878,9,8887,0.64
5,NIRMALA VASAVE,Peoples Party of India (Democratic),6923,24,6947,0.5
6,ROHIDAS GEMAJI VALVI,Independent,4941,6,4947,0.35
7,HEMANT MANSARAM KOLI,Vanchit Bahujan Aaghadi,4062,19,4081,0.29
8,DEEPAKKUMAR MADHUKAR SHIRSATH,Independent,3567,4,3571,0.26
9,RAVINDRA RANJIT VALVI,Bharat Adivasi Party,2608,17,2625,0.19
10,JALAMSING SUTUM PAWAR,Independent,2583,4,2587,0.19
11,GITANJALI SHASHIKANT KOLI,Independent,2372,9,2381,0.17
12,NOTA,None of the Above,14108,15,14123,1.01
1,NITIN JAIRAM GADKARI,Bharatiya Janata Party,652809,2218,655027,54.08
2,VIKAS THAKRE,Indian National Congress,515941,1483,517424,42.72
3,YOGIRAJ ALIAS YOGESH PATIRAM LANJEWAR,Bahujan Samaj Party,19164,78,19242,1.59
4,KIVINSUKA VIRENDRA SURYAVANSHI,Desh Janhit Party,2055,4,2059,0.17
5,ADARSH RAVISHANKAR THAKUR,Independent,1749,1,1750,0.14
6,ADV ULHAS SHALIKRAM DUPARE,Independent,1346,2,1348,0.11
7,FAHIM SHAMIM KHAN,Minorities Democratic Party,1072,1,1073,0.09
8,SURAJ BALRAM MISHRA,Kunbi Bahujan Sawrajya Party,814,3,817,0.07
9,TEKRAJ BELKHODE,Independent,803,5,808,0.07
10,GARUDADRI ANAND KUMAR,Akhil Bhartiya Parivar Party,719,1,720,0.06
11,DHANU WALTHARE,Independent,690,2,692,0.06
12,VIJAY MANKAR,Ambedkarite Party of India,606,4,610,0.05
13,ADV. SANTOSH RAMKRISHNA LANJEWAR,All India Forward Bloc,565,2,567,0.05
14,VISHESH VASANTA FUTANE,Bahujan Republican Socialist Party,559,3,562,0.05
15,GUNWANT HARICHANDRA SOMKUWAR,Bharatheeya Jawan Kisan Party,465,6,471,0.04
16,SHRIDHAR NARAYAN SALVE,Bhim Sena,447,4,451,0.04
17,SUNIL WANKHEDE,Rashtra Samarpan Party,320,2,322,0.03
18,DIPAK LAXMANRAO MASKE,Bahujan Maha Party,267,3,270,0.02
19,NARAYAN TUKARAM CHOUDHARI,Socialist Unity Centre Of India (COMMUNIST),251,0,251,0.02
20,SANTOSH TULSHIRAM CHAVHAN,Independent,242,0,242,0.02
21,SUSHIL PATIL,Independent,236,1,237,0.02
22,SACHIN RAMKRUSHNARAO WAGHADE,Independent,202,0,202,0.02
23,PRAFUL MANIKCHAND BHANGE,Independent,201,0,201,0.02
24,VINAYAK BHAURAO AWCHAT,Independent,190,0,190,0.02
25,BABITA RAJU AWASTHI,Independent,179,3,182,0.02
26,SAHIL BALCHAND TURKAR,Independent,129,0,129,0.01
27,NOTA,None of the Above,5434,40,5474,0.45
1,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,581678,5735,587413,47.56
2,SUNIL BABURAO MENDHE,Bharatiya Janata Party,546222,3811,550033,44.53
3,KUMBHALKAR SANJAY BHAIYY,Bahujan Samaj Party,25104,358,25462,2.06
4,SANJAY GAJANAN KEWAT,Vanchit Bahujan Aaghadi,24528,330,24858,2.01
5,SEWAKBHAU NIRDHAN WAGHAYE,Independent,12899,204,13103,1.06
6,AJAYKUMAR BHARTIYA,Akhil Bhartiya Parivar Party,3998,59,4057,0.33
7,SUMIT VIJAY PANDE,Independent,3719,0,3719,0.3
8,VIRENDRAKUMAR KASTURCHAND JAISWAL,Independent,2382,7,2389,0.19
9,DEVILAL SUKHRAM NEPALE,Peoples Party of India (Democratic),2000,9,2009,0.16
10,DR. AKASH MADHUKAR JIBHAKATE,Independent,1972,9,1981,0.16
