S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,ANGOMCHA BIMOL AKOIJAM,Indian National Congress,370678,3339,374017,46.93
2,THOUNAOJAM BASANTA KUMAR SINGH,Bharatiya Janata Party,262217,1999,264216,33.16
3,MAHESHWAR THOUNAOJAM,Republican Party of India (Athawale),134308,1332,135640,17.02
4,RAJKUMAR SOMENDRO SINGH,Independent,12892,158,13050,1.64
5,MOIRANGTHEM TOTOMSHANA NONGSHABA,Independent,4831,50,4881,0.61
6,HAORUNGBAM SARAT SINGH,Independent,1279,17,1296,0.16
7,NOTA,None of the Above,3707,90,3797,0.48
1,ALFRED KANNGAM S ARTHUR,Indian National Congress,381813,3141,384954,48.32
2,KACHUI TIMOTHY ZIMIK,Naga Peoples Front,298358,1178,299536,37.6
3,S KHO JOHN,Independent,89677,233,89910,11.28
4,ALYSON ABONMAI,Independent,14865,245,15110,1.9
5,NOTA,None of the Above,6530,695,7225,0.91
