S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,DR. RICKY ANDREW J. SYNGKON,Voice of the People Party,569156,1922,571078,55.02
2,VINCENT H. PALA,Indian National Congress,198045,1123,199168,19.19
3,DR. MAZEL AMPAREEN LYNGDOH,National People's Party,185531,957,186488,17.97
4,ROBERTJUNE KHARJAHRIN,United Democratic Party,44278,285,44563,4.29
5,PROF. LAKHON KMA,Independent,18522,60,18582,1.79
6,PETER SHALLAM,Independent,6975,49,7024,0.68
7,NOTA,None of the Above,10944,64,11008,1.06
1,SALENG A SANGMA,Indian National Congress,382058,1861,383919,56.96
2,AGATHA K SANGMA,National People's Party,227210,1468,228678,33.93
3,ZENITH M SANGMA,All India Trinamool Congress,48518,191,48709,7.23
4,LABENN CH MARAK,Independent,6846,64,6910,1.03
5,NOTA,None of the Above,5809,31,5840,0.87
