S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,PRADEEP PUROHIT,Bharatiya Janata Party,709606,6753,716359,54.69
2,PARINITA MISHRA,Biju Janata Dal,463008,1684,464692,35.48
3,SANJAY BHOI,Indian National Congress,92666,885,93551,7.14
4,JAYARAM BAGH,Bahujan Samaj Party,9215,107,9322,0.71
5,GNYANENDRA BEHERA,Independent,4539,24,4563,0.35
6,DEVIKA SIKA,National Apni Party,4524,14,4538,0.35
7,PRABHAT KUMAR DHARUA,Independent,4294,4,4298,0.33
8,NOTA,None of the Above,12414,127,12541,0.96
1,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,614196,3548,617744,44.12
2,SURENDRA SINGH BHOI,Biju Janata Dal,483964,1116,485080,34.64
3,MANOJ KUMAR MISHRA,Indian National Congress,229577,1297,230874,16.49
4,SUNIL KUMAR BHOI,Socialist Unity Centre Of India (COMMUNIST),10334,21,10355,0.74
5,JAGADISH CHANDRA BIBHAR,Bahujan Samaj Party,9404,65,9469,0.68
6,BALRAM SINGH YADAV,Independent,8637,37,8674,0.62
7,MADHUSUDAN BARIK,Ambedkarite Party of India,7239,13,7252,0.52
8,BALARAM SA,Independent,6092,5,6097,0.44
9,AKSHAYA DISHRI,National Apni Party,5465,4,5469,0.39
10,RAJESH KUMAR PANDA,Ekam Sanatan Bharat Dal,3163,7,3170,0.23
11,NOTA,None of the Above,16010,54,16064,1.15
1,MALVIKA DEVI,Bharatiya Janata Party,538535,5768,544303,40.79
2,LAMBODAR NIAL,Biju Janata Dal,408267,2223,410490,30.77
3,DROUPADI MAJHI,Indian National Congress,300060,3139,303199,22.72
4,UMAKANTA TANDI,Independent,9180,14,9194,0.69
5,BIRANCHI NARAYAN DURGA,Bahujan Samaj Party,8440,57,8497,0.64
6,DR. DHARMANANDA GAHIR,Independent,7775,36,7811,0.59
7,SIBA HATI,Samajwadi Party,7138,30,7168,0.54
8,RAJARAM SAHU,Independent,6712,18,6730,0.5
9,NARESH HIANLA,Independent,6627,14,6641,0.5
10,GANGADHAR JAL,Independent,5547,43,5590,0.42
11,HIMANSHU TRIPATHY,Samruddha Odisha,4898,8,4906,0.37
12,NOTA,None of the Above,19620,95,19715,1.48
1,BALABHADRA MAJHI,Bharatiya Janata Party,478330,3066,481396,38.74
2,PRADEEP KUMAR MAJHI,Biju Janata Dal,392448,1412,393860,31.7
3,BHUJABAL MAJHI,Indian National Congress,302095,1297,303392,24.42
4,TRINATH MUNDAGUDIA,Socialist Unity Centre Of India (COMMUNIST),20548,11,20559,1.65
5,NOTA,None of the Above,43240,28,43268,3.48
1,SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,413320,3095,416415,41.8
2,ACHYUTANANDA SAMANTA,Biju Janata Dal,393644,1400,395044,39.66
3,AMIR CHAND NAYAK,Indian National Congress,143311,1011,144322,14.49
4,BHAGIRATHI BALIARSINGH,Manas Lokshakti Dal,7329,1,7330,0.74
5,KANAK MANJARI RATH,Independent,5201,4,5205,0.52
6,HARIBANDHU BEHERA,Bahujan Samaj Party,5121,16,5137,0.52
7,SUBASH MOHAPATRA,National Jan Dal,4133,4,4137,0.42
8,PARSURAM PRADHAN,Kalinga Sena,2770,11,2781,0.28
9,NOTA,None of the Above,15691,29,15720,1.58
1,BHARTRUHARI MAHTAB,Bharatiya Janata Party,529271,2330,531601,47.43
