S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,KULDEEP INDORA,Indian National Congress,719896,6596,726492,51.4
2,PRIYANKA BALAN MEGHWAL,Bharatiya Janata Party,632097,6242,638339,45.16
3,DEVKARAN NAYAK,Bahujan Samaj Party,16090,212,16302,1.15
4,RAJKUMAR,Independent,4350,25,4375,0.31
5,KULWANT KAUR,Indian Peoples Green Party,4338,24,4362,0.31
6,DAYA RAM,Independent,3285,434,3719,0.26
7,RAJENDER KUMAR,Bhartiya Jan Samman Party,2383,60,2443,0.17
8,KANA RAM,Independent,2248,18,2266,0.16
9,MAJOR SINGH,Jai Hind Congress Party,2075,26,2101,0.15
10,NOTA,None of the Above,12940,155,13095,0.93
1,BHAJAN LAL JATAV,Indian National Congress,525379,4632,530011,53.64
2,INDU DEVI,Bharatiya Janata Party,426798,4268,431066,43.62
3,VIKRAM SINGH,Bahujan Samaj Party,14005,107,14112,1.43
4,RAMKHILADI DHOVI,Independent,5426,47,5473,0.55
5,NOTA,None of the Above,7402,58,7460,0.75
1,MURARI LAL MEENA,Indian National Congress,636868,9398,646266,60.24
2,KANHAIYA LAL MEENA,Bharatiya Janata Party,404309,4617,408926,38.12
3,SONU DHANKA,Bahujan Samaj Party,6752,45,6797,0.63
4,"DR. RAM ROOP MEENA, ADVOCATE",Independent,2701,20,2721,0.25
5,MOHAN LAL MEENA,Independent,2164,14,2178,0.2
6,NOTA,None of the Above,5789,57,5846,0.54
1,HARISH CHANDRA MEENA,Indian National Congress,617137,6626,623763,50.85
2,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,553309,5505,558814,45.56
3,PRAHALAD MALI,Bahujan Samaj Party,13089,55,13144,1.07
4,GANESH MEENA,Indian Peoples Green Party,7425,8,7433,0.61
5,MAKHAN LAL MEENA,Independent,3314,10,3324,0.27
6,JASRAM MEENA,Independent,3044,1,3045,0.25
7,VIJENDRA,Aazad Samaj Party (Kanshi Ram),2669,28,2697,0.22
8,GIRRAJ PRASAD MEENA,Independent,2512,9,2521,0.21
9,JAGDISH PRASAD MEENA,Bharat Adivasi Party,1366,7,1373,0.11
10,DULI CHAND SAINI,Rajasthan Raj Party,1253,11,1264,0.1
