S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,BIPLAB KUMAR DEB,Bharatiya Janata Party,868484,12857,881341,72.85
2,ASISH KUMAR SAHA,Indian National Congress,265912,3851,269763,22.3
3,RAMENDRA REANG,Independent,8899,33,8932,0.74
4,ARUN KUMAR BHAUMIK,Socialist Unity Centre Of India (COMMUNIST),8617,167,8784,0.73
5,GOURI SANKAR NANDI,Independent,8074,40,8114,0.67
6,MILAN PADA MURASING,Independent,6625,27,6652,0.55
7,BALARAM DEBBARMA,Independent,4356,123,4479,0.37
8,BRAJALAL DEBNATH,Independent,3656,27,3683,0.3
9,ARNAB ROY,Republican Party of India (A),3420,29,3449,0.29
10,NOTA,None of the Above,14444,168,14612,1.21
1,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,768129,9318,777447,68.54
2,RAJENDRA REANG,Communist Party of India (Marxist),287772,2856,290628,25.62
3,ARCHANA URANG,Independent,10814,108,10922,0.96
4,DARSHAN KUMAR REANG,Independent,9200,69,9269,0.82
5,SANTOJOY TRIPURA,Independent,6825,37,6862,0.6
6,SHIB CHANDRA DEBBARMA,Independent,6685,34,6719,0.59
7,SATRUGHNA JAMATIA,Independent,5939,28,5967,0.53
8,KRISHNA MOHAN JAMATIA,Independent,4166,51,4217,0.37
9,KALPA MOHAN TRIPURA,Independent,3958,53,4011,0.35
10,NOTA,None of the Above,18176,127,18303,1.61
