S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,455949,6654,462603,53.66
2,JOT SINGH GUNSOLA,Indian National Congress,187602,2508,190110,22.05
3,BOBY PANWAR,Independent,162469,5612,168081,19.5
4,NAVNEET SINGH GOSAIN,Rashtriya Uttarakhand Party,9969,57,10026,1.16
5,NEMCHAND,Bahujan Samaj Party,6786,122,6908,0.8
6,BRIJ BHUSHAN KARANWAL,Bhartiya Rashtriya Ekta Dal,3545,25,3570,0.41
7,SARDAR KHAN PAPPU,Independent,3268,7,3275,0.38
8,VEPIN KUMAR AGGARWAL,Independent,3173,43,3216,0.37
9,RAMPAL SINGH,Peoples Party of India (Democratic),2343,19,2362,0.27
10,SUDESH TOMAR,Independent,2261,7,2268,0.26
11,PREM DUTT SEMWAL,Independent,2134,30,2164,0.25
12,NOTA,None of the Above,7304,154,7458,0.87
1,ANIL BALUNI,Bharatiya Janata Party,418531,13628,432159,58.6
2,GANESH GODIYAL,Indian National Congress,262692,5964,268656,36.43
3,SONU KUMAR,Independent,4803,19,4822,0.65
4,ASHUTOSH SINGH,Uttarakhand Kranti Dal,4182,379,4561,0.62
5,DHEER SINGH,Bahujan Samaj Party,4007,115,4122,0.56
6,MUKESH PRAKASH,Independent,3064,15,3079,0.42
7,SURESHI DEVI,Peoples Party of India (Democratic),1472,40,1512,0.21
8,DEEPENDRA SINGH NEGI,Independent,1408,232,1640,0.22
9,ARJUN SINGH,Akhil Bhartiya Parivar Party,1308,70,1378,0.19
10,RESHMA PANWAR,Socialist Unity Centre Of India (COMMUNIST),1168,125,1293,0.18
11,DR MUKESH PANT,Sainik Samaj Party,1121,58,1179,0.16
12,VINOD KUMAR SHARMA,Uttarakhand Samanta Party,838,46,884,0.12
13,SHYAMLAL,Bahujan Mukti Party,743,28,771,0.1
14,NOTA,None of the Above,11224,151,11375,1.54
1,AJAY TAMTA,Bharatiya Janata Party,417535,11632,429167,64.2
2,PRADEEP TAMTA,Indian National Congress,191642,3428,195070,29.18
3,NARAYAN RAM,Bahujan Samaj Party,9840,235,10075,1.51
4,KIRAN ARYA,Uttarakhand Parivartan Party,5528,250,5778,0.86
5,ARJUN PRASAD,Independent,4591,116,4707,0.7
6,DR PRAMOD KUMAR,Peoples Party of India (Democratic),4401,56,4457,0.67
7,ER JYOTI PRAKASH TAMTA,Bahujan Mukti Party,2178,46,2224,0.33
8,NOTA,None of the Above,16697,322,17019,2.55
1,AJAY BHATT,Bharatiya Janata Party,766397,6274,772671,61.03
2,PRAKASH JOSHI,Indian National Congress,434916,3207,438123,34.61
3,AKHTAR ALI,Bahujan Samaj Party,23276,179,23455,1.85
4,AKHALESH KUMAR,Akhil Bhartiya Parivar Party,4871,31,4902,0.39
5,HITESH PATHAK,Independent,4287,28,4315,0.34
6,RAMESH KUMAR MAX,Independent,3271,29,3300,0.26
7,AMAR SINGH SAINI,Peoples Party of India (Democratic),2963,24,2987,0.24
8,JEEVAN CHANDRA UPRETI,Bharat Ki Lok Jimmedar Party,2292,18,2310,0.18
9,SHIB SINGH,Uttarakhand Kranti Dal,1809,46,1855,0.15
10,SURENDRA SINGH,Bhartiya Shakti Chetna Party,1655,18,1673,0.13
11,NOTA,None of the Above,10227,198,10425,0.82
1,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,648498,5310,653808,50.19
2,VIRENDRA RAWAT,Indian National Congress,487406,2346,489752,37.6
3,UMESH KUMAR PATRAKAR,Independent,89958,1230,91188,7.0
4,JAMIL AHMAD,Bahujan Samaj Party,42116,207,42323,3.25
5,BALBIR SINGH BHANDARI,Uttarakhand Samanta Party,2943,18,2961,0.23
6,MOHAN SINGH ASWAL,Uttarakhand Kranti Dal,2809,45,2854,0.22
7,VIJAY KUMAR,Independent,2409,1,2410,0.19
8,PAWAN KASHYAP,Independent,2170,8,2178,0.17
9,KARAN SINGH SAINI ENGINEER,Independent,1963,11,1974,0.15
10,AKRAM HUSSAIN,Independent,1678,7,1685,0.13
11,LALIT KUMAR,Peoples Party of India (Democratic),1396,14,1410,0.11
12,SURESH PAL,Bhartiya Rashtriya Ekta Dal,1150,12,1162,0.09
13,ASHISH DHYANI,Independent,1107,10,1117,0.09
14,AVNISH KUMAR,Independent,967,8,975,0.07
15,NOTA,None of the Above,6663,163,6826,0.52
