S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,785747,2628,788375,48.57
2,NISITH PRAMANIK,Bharatiya Janata Party,745144,3981,749125,46.16
3,NITISH CHANDRA ROY,All India Forward Bloc,29992,275,30267,1.86
4,PIYA ROY CHOWDHURY,Indian National Congress,10539,140,10679,0.66
5,HAREKRISHNA SARKAR,Independent,9462,5,9467,0.58
6,KAMALESH BARMAN,Independent,2972,21,2993,0.18
7,NABI BARMAN,Independent,2710,14,2724,0.17
8,SUBODH BARMAN,Independent,2594,5,2599,0.16
9,DILIP CHANDRA BARMAN,Socialist Unity Centre Of India (COMMUNIST),2449,19,2468,0.15
10,PURNA MOHAN ROY,Bahujan Samaj Party,2087,10,2097,0.13
11,BIDHAN DAS,Independent,2067,5,2072,0.13
12,KISHORE RAY,Independent,1588,18,1606,0.1
13,PRADIP KUMAR ROY,Kamatapur People’s Party (United),1499,19,1518,0.09
14,AMAL DAS,Independent,1488,7,1495,0.09
15,NOTA,None of the Above,15510,53,15563,0.96
1,PATHAN YUSUF,All India Trinamool Congress,523630,886,524516,37.88
2,ADHIR RANJAN CHOWDHURY,Indian National Congress,438171,1323,439494,31.74
3,DR. NIRMAL KUMAR SAHA,Bharatiya Janata Party,370370,1515,371885,26.86
4,SAMIRAN DAS,Independent,18526,1,18527,1.34
5,SWAPAN KUMAR MANDAL,Independent,6394,2,6396,0.46
6,SANTOSH BISWAS,Bahujan Samaj Party,4219,19,4238,0.31
7,BISWAMVOIR KALITA,Independent,3060,2,3062,0.22
8,SOMNATH PAUL,All India Arya Mahasabha,2250,0,2250,0.16
9,RUNA LAILA,Social Democratic Party Of India,1569,2,1571,0.11
10,ABHIJIT MANDAL,Socialist Unity Centre Of India (COMMUNIST),1410,8,1418,0.1
11,ASHIS DAS,Independent,1106,4,1110,0.08
12,ADHIR SWARNAKAR,Independent,851,5,856,0.06
13,AJIT KUMAR MANDAL,Independent,745,4,749,0.05
14,MANIK KUMAR DAS,Jai Prakash Janata Dal,729,0,729,0.05
15,AABDUSA SATTAR SEKH,Indian National Socialistic Action Forces,477,7,484,0.03
16,NOTA,None of the Above,7474,11,7485,0.54
1,ABU TAHER KHAN,All India Trinamool Congress,681674,768,682442,44.27
2,MD SALIM,Communist Party of India (Marxist),517733,494,518227,33.62
3,GOURI SANKAR GHOSH,Bharatiya Janata Party,291013,1018,292031,18.94
4,HABIB SAIKH,All India Secular Front,12359,11,12370,0.8
5,ASIM RAY,Bhartiya Lokmat Rashtrwadi Party,5522,12,5534,0.36
6,SAHABUDDIN MALLIK,Independent,4156,0,4156,0.27
7,RAFIKUL ISLAM,Independent,4064,1,4065,0.26
8,MAHAFUJUL ALAM,Socialist Unity Centre Of India (COMMUNIST),3423,3,3426,0.22
9,MD TAIEDUL ISLAM,Social Democratic Party Of India,3291,2,3293,0.21
10,DHANANJOY SARKAR,Independent,1535,4,1539,0.1
11,KRISHNA PROSAD BISWAS,Independent,1197,9,1206,0.08
12,NOTA,None of the Above,13249,21,13270,0.86
1,MAHUA MOITRA,All India Trinamool Congress,624711,4078,628789,44.1
2,AMRITA ROY,Bharatiya Janata Party,567628,4456,572084,40.13
3,S.M. SADI,Communist Party of India (Marxist),179063,1138,180201,12.64
4,SANJIT BISWAS,Independent,8660,11,8671,0.61
5,SOURAV HELA,Independent,5061,4,5065,0.36
6,NEMAI BISWAS,Independent,5047,22,5069,0.36
7,AMAL CHANDRA SARKAR,Bahujan Samaj Party,5045,55,5100,0.36
8,AFROJA KHATUN MONDAL,All India Secular Front,4284,14,4298,0.3
9,ISMAT ARA MONDAL,Socialist Unity Centre Of India (COMMUNIST),3603,19,3622,0.25
10,MD. MUKTAR SHAIKH,Independent,3287,7,3294,0.23
11,ALIK KUMAR KUNDU,Independent,2699,9,2708,0.19
12,NOTA,None of the Above,6754,57,6811,0.48
1,JAGANNATH SARKAR,Bharatiya Janata Party,778046,4350,782396,50.78
2,MUKUT MANI ADHIKARI,All India Trinamool Congress,592276,3221,595497,38.65
3,ALAKESH DAS,Communist Party of India (Marxist),122970,840,123810,8.04
4,BIPLAB BISWAS,Bahujan Samaj Party,9319,73,9392,0.61
5,PARESH HALDAR,Socialist Unity Centre Of India (COMMUNIST),8223,16,8239,0.53
6,JAGANNATH SARKAR,Independent,5831,30,5861,0.38
7,SHYAMAL KUMAR MALLICK,Independent,5533,11,5544,0.36
8,NOTA,None of the Above,9798,95,9893,0.64
1,SHANTANU THAKUR,Bharatiya Janata Party,716952,2553,719505,48.19
2,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,All India Trinamool Congress,643653,2159,645812,43.25
3,PRADIPKUMAR BISWAS,Indian National Congress,64859,317,65176,4.37
4,DIPAK MAJUMDAR,All India Secular Front,19199,17,19216,1.29
5,SUJATA BAIRAGI,Independent,9649,4,9653,0.65
6,JASHAJIT SARKHEL,Independent,7829,4,7833,0.52
7,CHANDAN MALLICK,Bahujan Samaj Party,5905,30,5935,0.4
8,PRANITA MANDAL,Independent,2407,4,2411,0.16
9,SUMITA PODDAR,Independent,2347,7,2354,0.16
10,BISWAJIT DAS S/O LATE BALARAM DAS,Independent,2241,7,2248,0.15
11,PATIT PABAN MANDAL,Socialist Unity Centre Of India (COMMUNIST),2140,29,2169,0.15
12,SAMARESH BISWAS,Party for Democratic Socialism,1562,3,1565,0.1
13,BISWAJIT DAS,Independent,1257,15,1272,0.09
14,KALYAN SARKAR,Independent,676,15,691,0.05
15,SUBRATA BISWAS,Guruchand Sena Dal,581,2,583,0.04
16,NOTA,None of the Above,6635,50,6685,0.45
1,PARTHA BHOWMICK,All India Trinamool Congress,518486,1745,520231,45.56
2,ARJUN SINGH,Bharatiya Janata Party,454184,1609,455793,39.92
3,DEBDUT GHOSH,Communist Party of India (Marxist),109038,526,109564,9.6
4,MD JAMIR HOSSAIN,All India Secular Front,18797,9,18806,1.65
5,ROHIT KUMAR PATHAK,Independent,7116,16,7132,0.62
6,CHAPALA RAY (MAJUMDER),Bahujan Samaj Party,3882,27,3909,0.34
7,SHARMISTHA DAS,Independent,3622,12,3634,0.32
8,ANJAN GOSWAMI,Bharatiya Nyay-Adhikar Raksha Party,3434,14,3448,0.3
9,DHARMENDRA SINGH,Independent,2843,4,2847,0.25
10,SANJAY SINGH,Independent,1670,6,1676,0.15
11,DEBASISH BANERJEE,Socialist Unity Centre Of India (COMMUNIST),1422,12,1434,0.13
12,KUNDAN SINGH,Independent,820,6,826,0.07
13,UDAY VEER CHOUDHURY,Independent,745,12,757,0.07
14,AMIT KUMAR CHOUBEY,Independent,717,4,721,0.06
15,NOTA,None of the Above,11043,39,11082,0.97
1,SOUGATA RAY,All India Trinamool Congress,526289,2290,528579,41.95
2,SILBHADRA DATTA,Bharatiya Janata Party,456138,1781,457919,36.34
3,SUJAN CHAKRABORTY,Communist Party of India (Marxist),239418,1366,240784,19.11
4,SHEKH IMANUR RAHMAN,Independent,6410,1,6411,0.51
5,SWAMINATH KORI,Bahujan Samaj Party,3749,17,3766,0.3
6,HIRAK SINHA,Independent,3144,3,3147,0.25
7,BANAMALI PANDA,Socialist Unity Centre Of India (COMMUNIST),1728,11,1739,0.14
8,DULU DEY,Independent,1688,6,1694,0.13
9,MANIKA MUKHERJEE,Bharatiya Nyay-Adhikar Raksha Party,1231,6,1237,0.1
